0.00,0.00,0.00
0.00,-6.34,6.34
0.00,-6.34,6.34
0.00,-6.34,6.34
-6.30,-6.30,8.93
-6.30,-6.30,8.93
-7.07,-7.07,10.02
-7.07,-7.07,10.02
-7.07,-7.07,10.02
0.00,-6.34,6.34
0.00,-6.34,6.34
0.00,-6.34,6.34
0.00,-6.34,6.34
0.00,-6.34,6.34
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,8.13,8.13
0.00,15.95,15.95
0.00,15.95,15.95
0.00,15.95,15.95
0.00,14.04,14.04
0.00,14.04,14.04
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,29.74,29.74
0.00,29.74,29.74
0.00,29.74,29.74
0.00,29.74,29.74
0.00,26.57,26.57
0.00,20.56,20.56
0.00,26.57,26.57
0.00,29.74,29.74
0.00,29.74,29.74
0.00,29.74,29.74
0.00,29.74,29.74
0.00,29.74,29.74
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
0.00,20.56,20.56
-6.68,20.41,21.57
-6.68,20.41,21.57
-6.38,26.39,27.27
-6.38,26.39,27.27
0.00,32.01,32.01
0.00,32.01,32.01
0.00,32.01,32.01
0.00,32.01,32.01
0.00,32.01,32.01
0.00,26.57,26.57
6.68,20.41,21.57
12.24,12.24,17.45
12.53,0.00,12.53
11.31,0.00,11.31
5.68,5.68,8.05
6.19,12.45,13.95
0.00,18.43,18.43
0.00,20.56,20.56
0.00,14.04,14.04
0.00,7.13,7.13
0.00,7.13,7.13
0.00,7.13,7.13
-8.05,8.05,11.42
-8.05,8.05,11.42
-8.05,8.05,11.42
-7.07,7.07,10.02
